11	22,19,15,14,12,11,10,9,8,7,6,6,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,5,5,6,6,7,7,8,9,10,11,13,14,21,16,13,11,9,8,7,6,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,6,7,8,10,92,92,21,16,13,12,10,9,8,7,6,5,4,4,3,2,2,2,2,1,1,1,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,6,7,9,10,11,12,14,17,92,92,21,14,12,10,8,6,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,8,9,12
12	26,27,28,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,10,13,15,16,15,14,12,10,8,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,6,7,9,11,14,92,92,88,21,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,8,8,9,9,9,10,10,11,13,15,92,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,7,9,11,13
13	47,47,47,19,16,14,12,10,9,8,8,8,7,7,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,8,8,9,10,10,8,7,7,6,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,7,7,8,9,10,12,13,15,17,47,47,47,16,13,12,10,9,7,6,6,5,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,5,6,7,7,8,7,6,5,5,4,4,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,6,7,8,10,11,13,15,92,92,62,57,20,17,14,12,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,6,6,7,8,8,9,11,12,14,15,19,61,92,92,26,16,13,11,9,7,6,5,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,6,7,9,11,13,16,22
14	47,47,47,47,18,16,13,11,9,8,7,7,6,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,7,8,8,10,11,12,14,17,47,47,47,47,16,13,11,10,8,7,6,5,4,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,6,7,8,9,10,12,14,16,92,92,24,19,16,14,12,10,9,8,8,7,7,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,8,8,9,10,11,12,14,16,18,21,92,92,16,13,11,9,8,7,5,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,6,7,8,9,11,13,16,31
15	47,47,47,17,13,11,10,8,7,6,6,6,5,5,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,5,6,7,8,9,8,6,5,4,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,6,7,8,10,11,13,47,47,47,19,16,14,12,11,10,9,8,7,6,6,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,6,7,8,9,9,10,9,8,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,6,6,7,8,9,10,11,12,14,16,59,25,19,16,14,12,9,8,7,7,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,7,8,9,10,11,12,14,16,19,24,92,92,17,13,11,9,7,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,8,10,12,14,18,92,92
16	47,47,47,26,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,47,47,47,19,15,12,11,10,8,7,6,5,4,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,6,7,6,6,5,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,6,7,9,92,92,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,5,5,6,7,8,8,9,10,11,12,14,16,18,21,92,92,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,7,8,11
17	47,47,47,20,16,14,12,11,10,9,8,7,7,6,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,7,8,9,10,10,10,10,9,8,8,7,6,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,7,7,8,9,10,11,12,14,16,47,47,47,17,14,12,10,9,8,7,6,5,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,5,5,6,7,8,8,8,7,7,6,5,4,4,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,6,7,8,9,10,12,92,92,92,22,17,14,13,11,10,9,8,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,7,8,9,10,11,12,14,17,22,62,92,92,92,17,13,10,9,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,9,11,14,19
18	18,18,15,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,25,22,14,13,11,10,9,7,6,5,5,4,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,5,6,6,6,5,4,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,6,7,9,92,92,92,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,4,5,5,6,7,8,8,9,10,12,14,15,18,20,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,7,9,12
19	47,47,20,17,14,13,11,10,9,8,7,6,6,5,5,4,4,3,3,3,3,2,2,2,2,3,6,9,36,36,35,35,34,34,33,32,32,31,31,30,29,29,28,27,27,26,25,25,24,24,23,22,22,21,20,20,19,19,18,17,17,16,15,15,14,14,13,12,12,11,11,10,9,8,8,7,6,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2,47,47,19,16,13,11,10,8,7,6,5,5,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,9,9,10,10,11,12,12,13,14,14,15,15,16,17,18,18,19,19,20,20,21,22,22,23,24,24,25,25,26,27,28,28,29,29,30,30,30,30,1,0,0,0,0,0,0,0,0,92,92,21,17,15,13,11,10,9,8,7,6,6,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,6,7,7,8,9,10,12,13,15,17,21,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20	47,47,18,15,14,12,11,10,9,8,7,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,7,8,9,9,9,9,9,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,6,6,7,8,9,10,11,13,15,47,47,16,13,11,10,9,8,7,6,6,5,5,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,5,5,6,7,7,7,8,7,6,5,4,4,3,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,5,6,7,8,9,10,12,92,92,62,20,16,14,12,10,9,8,7,6,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,5,6,7,8,9,11,13,14,17,22,60,92,92,18,14,11,9,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,9,12,15,18
21	47,47,47,47,21,19,16,14,13,12,11,10,9,8,7,7,6,6,5,5,4,4,4,4,4,4,4,6,9,38,38,37,37,36,36,35,34,34,33,32,32,31,30,29,29,28,27,27,27,26,25,25,24,23,22,22,21,20,19,19,18,17,17,16,15,15,14,13,13,12,12,11,10,10,9,8,8,7,7,6,5,4,4,3,3,3,3,3,3,3,3,3,47,47,47,47,15,12,10,8,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,5,6,7,7,8,8,9,10,10,11,12,12,13,14,15,15,16,17,17,18,19,19,20,20,21,22,23,23,24,25,25,26,27,27,28,29,29,30,29,0,0,0,0,0,0,0,0,0,92,92,92,83,20,18,16,14,13,12,11,10,9,8,7,7,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,8,8,9,10,11,12,14,16,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22	28,29,30,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,0,0,1,3,5,9,8,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,5,6,7,8,10,12,16,92,92,27,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,2,2,1,92,92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,6,7,9,10,12,14
23	25,26,26,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,5,0,0,1,2,3,4,6,6,5,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,9,11,15,92,92,92,71,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,92,92,92,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,6,7,8,9,12
24	47,47,47,47,29,28,27,26,25,24,23,22,21,20,19,19,18,17,16,16,15,14,13,13,12,12,11,11,10,10,9,9,9,8,8,7,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,7,7,8,9,10,11,12,13,15,17,47,47,47,47,13,12,11,10,9,8,8,8,9,10,12,13,14,15,16,17,18,19,20,21,22,22,23,24,25,25,26,26,27,27,28,28,17,13,11,9,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,8,10,12,92,92,92,53,46,42,39,35,33,30,28,26,24,22,21,20,18,17,16,14,13,12,11,10,9,8,7,6,5,4,4,4,4,4,5,6,7,8,9,40,41,42,43,44,45,47,49,92,92,92,17,14,11,10,8,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,8,10,12
25	47,47,47,26,25,24,22,21,20,19,18,17,16,15,15,14,13,12,11,11,10,10,9,9,8,8,7,7,6,6,5,5,5,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,7,8,9,10,12,15,18,47,47,47,47,47,19,17,16,15,14,13,12,12,12,12,14,15,16,18,19,20,21,22,23,24,25,25,26,27,27,28,29,29,30,30,30,30,19,16,14,12,10,9,8,7,6,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,6,6,7,8,9,10,12,14,17,20,47,47,48,44,38,35,33,30,28,26,24,22,20,18,17,16,15,13,12,11,10,9,8,7,6,6,5,4,3,3,4,4,5,6,7,8,9,39,39,40,41,42,43,44,46,48,51,92,92,19,16,14,12,11,10,9,8,7,6,5,5,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,5,6,6,7,8,9,10,12,13,15,19,92,92
